裤 褲 褲
夸 誇 洿
垮 垮 垮
挎 挎 挎
跨 跨 跨
胯 胯 胯
块 塊 赽
筷 筷 筷
侩 儈 侩
快 快 赽
宽 寬 寬
款 款 窾
匡 匡 匡
筐 筐 筺
狂 狂 誑
框 框 框
矿 礦 纩
眶 眶 洭
旷 曠 纩
况 況 況
亏 虧 扝
盔 盔 盔
岿 巋 岿
窥 窺 窺
葵 葵 葵
奎 奎 喹
魁 魁 魁
傀 傀 傀
馈 饋 潰
愧 愧 隗
溃 潰 潰
坤 坤 堒
昆 昆 崐
捆 捆 涃
困 困 涃
括 括 葀
扩 擴 拡
廓 廓 霩
阔 闊 闊
垃 垃 柆
拉 拉 菈
喇 喇 喇
蜡 蠟 臘
腊 臘 臘
辣 辣 辣
啦 啦 菈
莱 萊 莱
来 來 唻
赖 賴 攋
蓝 藍 藍
婪 婪 漤
栏 欄 孄
拦 攔 拦
篮 籃 藍
阑 闌 阑
兰 蘭 蘭
澜 瀾 瀾
谰 讕 谰
揽 攬 灠
览 覽 灠
懒 懶 攋
缆 纜 灠
烂 爛 灡
滥 濫 嚂
琅 琅 哴
榔 榔 蓈
狼 狼 哴
廊 廊 蓢
郎 郎 蓢
朗 朗 蓢
浪 浪 烺
捞 撈 崂
劳 勞 崂
牢 牢 窂
老 老 荖
佬 佬 佬
姥 姥 粩
酪 酪 絡
烙 烙 絡
涝 澇 崂
勒 勒 嘞
乐 樂 泺
雷 雷 檑
镭 鐳 檑
蕾 蕾 檑
磊 磊 藞
累 累 蔂
儡 儡 儡
垒 壘 垒
擂 擂 檑
肋 肋 叻
类 類 類
泪 淚 汨
棱 棱 棱
楞 楞 楞
冷 冷 唥
厘 厘 厘
梨 梨 悡
犁 犁 犁
黎 黎 黎
篱 籬 篱
狸 狸 狸
离 離 蓠
漓 漓 漓
理 理 理
李 李 李
里 裏 里
鲤 鯉 鲤
礼 禮 礼
莉 莉 莉
荔 荔 荔
吏 吏 吏
栗 栗 栗
丽 麗 婯
厉 厲 疠
励 勵 励
砾 礫 砾
历 曆 呖
利 利 悡
傈 傈 傈
例 例 唎
俐 俐 俐
痢 痢 痢
立 立 竝
粒 粒 粒
沥 瀝 沥
隶 隸 隶
力 力 劦
璃 璃 璃
哩 哩 哩
俩 倆 唡
联 聯 聅
莲 蓮 嗹
